Timestamp,Machine_ID,Machine_Type,Power_kW,Energy_kWh,Voltage_V,Current_A,Temperature_C,Vibration_mm_s,RPM,Operating_Hours,Production_Units,Production_Target,Machine_Status,Ground_Truth,Anomaly_Type,Tariff_Rs_per_kWh,Peak_OffPeak,Maintenance_Status
2026-01-01 00:00:00,COMPRESSOR_01,Air Compressor,32.568,8.142,415.2,51.46,71.74,2.462,2945.4,2686.27,209.22,210.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:00:00,HVAC_01,HVAC System,40.137,10.0342,416.5,63.22,41.16,1.762,983.6,3007.49,1143.89,1200.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:00:00,MOTOR_01,Spinning Motor,38.354,9.5885,412.7,60.97,58.34,1.878,1486.2,2762.43,45.55,48.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:00:00,PUMP_01,Water Pump,17.494,4.3735,414.4,27.7,47.28,1.457,1444.5,2605.2,26.95,28.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:15:00,COMPRESSOR_01,Air Compressor,32.111,8.0278,416.0,50.64,70.03,2.281,2950.6,2686.52,207.83,210.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:15:00,HVAC_01,HVAC System,41.046,10.2615,411.5,65.44,40.27,1.701,982.9,3007.74,1150.57,1200.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:15:00,MOTOR_01,Spinning Motor,36.833,9.2082,409.7,58.98,56.02,1.874,1489.7,2762.68,42.83,48.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:15:00,PUMP_01,Water Pump,16.27,4.0675,417.1,25.59,47.85,1.547,1451.3,2605.45,25.26,28.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:30:00,COMPRESSOR_01,Air Compressor,34.505,8.6262,417.4,54.24,71.86,2.427,2940.9,2686.77,218.01,210.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:30:00,HVAC_01,HVAC System,42.236,10.559,414.2,66.9,40.47,1.807,984.9,3007.99,1197.02,1200.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
2026-01-01 00:30:00,MOTOR_01,Spinning Motor,39.228,9.807,417.4,61.66,58.08,1.94,1494.9,2762.93,46.35,48.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD
