Date,Total_Energy_kWh,Total_Cost_Rs,Yarn_Production_kg,Factory_SEC_kWh_per_kg,Peak_Demand_kW
2026-01-01,3064.41,21948.51,4450.2,0.689,150.7
2026-01-02,3075.06,22017.12,4433.1,0.694,147.32
2026-01-03,3078.29,22027.88,4401.2,0.699,148.1
2026-01-04,2518.55,17847.83,3617.5,0.696,145.13
2026-01-05,3065.97,21967.77,4444.9,0.69,145.73
2026-01-06,3034.92,21768.78,4446.4,0.683,147.98
2026-01-07,3072.04,21975.88,4427.4,0.694,148.32
2026-01-08,3093.1,22146.31,4388.4,0.705,149.45
2026-01-09,3112.96,22302.04,4423.9,0.704,153.92
2026-01-10,3078.93,22034.95,4430.8,0.695,148.61
2026-01-11,2534.65,17970.16,3612.6,0.702,179.94
2026-01-12,3139.02,22511.31,4408.8,0.712,148.69
2026-01-13,3070.29,21973.24,4429.1,0.693,147.27
2026-01-14,3064.44,21946.63,4423.8,0.693,145.84
