Timestamp,Machine_ID,Machine_Name,Health_Score,Risk_Level,Severity,Observed_Data,Model_Inference,Engineering_Hypothesis,Recommended_Action
2026-01-01 15:45:00,HVAC_01,Humidification & Climate Plant,20,HIGH,CRITICAL,"Power: 39.6 kW (Baseline: 48.0 kW, -18%); Temp: 48.3°C (Baseline: 45.0°C, +3.3°C); Vib: 14.50 mm/s (Baseline: 1.60 mm/s, ISO: ZONE_D_UNACCEPTABLE); Speed: 985 RPM; Prod: 1146.9 units; Voltage: 411.5 V",Isolation Forest Anomaly Score: 78.4/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,"Vibration exceeds ISO 10816 Class II threshold. Likely V-belt wear, rotor unbalance, or loose foundation anchor bolts.",Inspect belt tension and pulley alignment. Check foundation bolt torque using calibrated torque wrench.
2026-01-02 22:00:00,HVAC_01,Humidification & Climate Plant,20,HIGH,CRITICAL,"Power: 40.7 kW (Baseline: 48.0 kW, -15%); Temp: 43.1°C (Baseline: 45.0°C, -1.9°C); Vib: 14.50 mm/s (Baseline: 1.60 mm/s, ISO: ZONE_D_UNACCEPTABLE); Speed: 984 RPM; Prod: 1150.3 units; Voltage: 408.8 V",Isolation Forest Anomaly Score: 77.0/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,"Vibration exceeds ISO 10816 Class II threshold. Likely V-belt wear, rotor unbalance, or loose foundation anchor bolts.",Inspect belt tension and pulley alignment. Check foundation bolt torque using calibrated torque wrench.
2026-01-05 10:30:00,MOTOR_01,Ring Spinning Frame Motor,30,HIGH,CRITICAL,"Power: 39.0 kW (Baseline: 45.0 kW, -13%); Temp: 65.8°C (Baseline: 62.0°C, +3.8°C); Vib: 14.50 mm/s (Baseline: 1.80 mm/s, ISO: ZONE_D_UNACCEPTABLE); Speed: 1488 RPM; Prod: 48.4 units; Voltage: 419.8 V",Isolation Forest Anomaly Score: 58.1/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,"Vibration exceeds ISO 10816 Class II threshold. Likely V-belt wear, rotor unbalance, or loose foundation anchor bolts.",Inspect belt tension and pulley alignment. Check foundation bolt torque using calibrated torque wrench.
2026-01-05 23:00:00,COMPRESSOR_01,Screw Air Compressor,55,HIGH,HIGH,"Power: 29.3 kW (Baseline: 38.0 kW, -23%); Temp: 71.2°C (Baseline: 75.0°C, -3.8°C); Vib: 2.15 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_A_GOOD); Speed: 2945 RPM; Prod: 0.0 units; Voltage: 411.4 V",Isolation Forest Anomaly Score: 82.3/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-05 23:15:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 29.1 kW (Baseline: 38.0 kW, -23%); Temp: 71.4°C (Baseline: 75.0°C, -3.6°C); Vib: 2.41 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2946 RPM; Prod: 0.0 units; Voltage: 414.7 V",Isolation Forest Anomaly Score: 65.7/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-05 23:30:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 28.4 kW (Baseline: 38.0 kW, -25%); Temp: 72.5°C (Baseline: 75.0°C, -2.5°C); Vib: 2.41 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2948 RPM; Prod: 0.0 units; Voltage: 413.8 V",Isolation Forest Anomaly Score: 65.9/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-05 23:45:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 30.3 kW (Baseline: 38.0 kW, -20%); Temp: 71.5°C (Baseline: 75.0°C, -3.5°C); Vib: 2.25 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_A_GOOD); Speed: 2953 RPM; Prod: 0.0 units; Voltage: 418.9 V",Isolation Forest Anomaly Score: 69.7/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 00:00:00,COMPRESSOR_01,Screw Air Compressor,64,HIGH,HIGH,"Power: 28.1 kW (Baseline: 38.0 kW, -26%); Temp: 71.1°C (Baseline: 75.0°C, -3.9°C); Vib: 2.47 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2946 RPM; Prod: 0.0 units; Voltage: 414.1 V",Isolation Forest Anomaly Score: 71.8/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 00:15:00,COMPRESSOR_01,Screw Air Compressor,64,HIGH,HIGH,"Power: 26.8 kW (Baseline: 38.0 kW, -30%); Temp: 71.3°C (Baseline: 75.0°C, -3.7°C); Vib: 2.48 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2950 RPM; Prod: 0.0 units; Voltage: 419.1 V",Isolation Forest Anomaly Score: 66.3/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 00:30:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 30.4 kW (Baseline: 38.0 kW, -20%); Temp: 71.0°C (Baseline: 75.0°C, -4.0°C); Vib: 2.32 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2952 RPM; Prod: 0.0 units; Voltage: 418.6 V",Isolation Forest Anomaly Score: 66.3/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
