Hour,Machine_ID,Production,Power_kW,Tariff_Rs,Energy_kWh,Cost_Rs,Health_Score,Severity,Availability,Operational_Status,Effective_Capacity,Batch_ID,Batch_Start,Batch_Active,Batch_Duration
0,MOTOR_01,127.6,31.78,5.5,31.78,174.78,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
1,MOTOR_01,127.6,31.78,5.5,31.78,174.78,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
2,MOTOR_01,127.6,31.78,5.5,31.78,174.78,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
3,MOTOR_01,127.6,31.78,5.5,31.78,174.78,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
4,MOTOR_01,136.11,33.1,5.5,33.1,182.03,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
5,MOTOR_01,148.87,35.07,5.5,35.07,192.91,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
6,MOTOR_01,191.4,41.67,7.5,41.67,312.5,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
7,MOTOR_01,204.16,43.64,7.5,43.64,327.33,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
8,MOTOR_01,212.67,44.96,7.5,44.96,337.22,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
9,MOTOR_01,212.67,44.96,7.5,44.96,337.22,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
10,MOTOR_01,204.16,43.64,7.5,43.64,327.33,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
11,MOTOR_01,191.4,41.67,7.5,41.67,312.5,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
12,MOTOR_01,161.63,37.05,7.5,37.05,277.89,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
13,MOTOR_01,178.64,39.69,7.5,39.69,297.67,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
14,MOTOR_01,204.16,43.64,7.5,43.64,327.33,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
15,MOTOR_01,212.67,44.96,7.5,44.96,337.22,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
16,MOTOR_01,221.17,46.28,7.5,46.28,347.11,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
17,MOTOR_01,229.68,47.6,7.5,47.6,357.0,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
18,MOTOR_01,246.69,50.24,10.0,50.24,502.37,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
19,MOTOR_01,255.2,51.56,10.0,51.56,515.56,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
20,MOTOR_01,246.69,50.24,10.0,50.24,502.37,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
21,MOTOR_01,233.93,48.26,10.0,48.26,482.59,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
22,MOTOR_01,148.87,35.07,5.5,35.07,192.91,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
23,MOTOR_01,148.87,35.07,5.5,35.07,192.91,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
0,COMPRESSOR_01,544.42,29.07,5.5,29.07,159.86,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
1,COMPRESSOR_01,544.42,29.07,5.5,29.07,159.86,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
2,COMPRESSOR_01,544.42,29.07,5.5,29.07,159.86,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
3,COMPRESSOR_01,544.42,29.07,5.5,29.07,159.86,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
4,COMPRESSOR_01,580.72,29.94,5.5,29.94,164.65,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
5,COMPRESSOR_01,635.16,31.24,5.5,31.24,171.84,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
6,COMPRESSOR_01,816.64,35.6,7.5,35.6,266.99,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
7,COMPRESSOR_01,871.08,36.91,7.5,36.91,276.79,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
8,COMPRESSOR_01,907.37,37.78,7.5,37.78,283.33,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
9,COMPRESSOR_01,907.37,37.78,7.5,37.78,283.33,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
10,COMPRESSOR_01,871.08,36.91,7.5,36.91,276.79,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
11,COMPRESSOR_01,816.64,35.6,7.5,35.6,266.99,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
12,COMPRESSOR_01,689.6,32.55,7.5,32.55,244.13,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
13,COMPRESSOR_01,762.19,34.29,7.5,34.29,257.19,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
14,COMPRESSOR_01,871.08,36.91,7.5,36.91,276.79,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
15,COMPRESSOR_01,907.37,37.78,7.5,37.78,283.33,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
16,COMPRESSOR_01,943.67,38.65,7.5,38.65,289.86,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
17,COMPRESSOR_01,979.96,39.52,7.5,39.52,296.39,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
18,COMPRESSOR_01,1052.55,41.26,10.0,41.26,412.61,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
19,COMPRESSOR_01,1088.85,42.13,10.0,42.13,421.32,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
20,COMPRESSOR_01,1052.55,41.26,10.0,41.26,412.61,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
21,COMPRESSOR_01,998.11,39.95,10.0,39.95,399.55,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
22,COMPRESSOR_01,635.16,31.24,5.5,31.24,171.84,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
23,COMPRESSOR_01,635.16,31.24,5.5,31.24,171.84,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
0,HVAC_01,3119.09,33.71,5.5,33.71,185.43,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
1,HVAC_01,3119.09,33.71,5.5,33.71,185.43,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
2,HVAC_01,3119.09,33.71,5.5,33.71,185.43,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
