Hour,Machine_ID,Production,Power_kW,Tariff_Rs,Energy_kWh,Cost_Rs,Health_Score,Severity,Availability,Operational_Status,Effective_Capacity,Batch_ID,Batch_Start,Batch_Active,Batch_Duration
0,MOTOR_01,230.0,47.65,5.5,47.65,262.07,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
1,MOTOR_01,211.48,44.78,5.5,44.78,246.29,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
2,MOTOR_01,230.0,47.65,5.5,47.65,262.07,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
3,MOTOR_01,170.27,38.39,5.5,38.39,211.16,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
4,MOTOR_01,170.27,38.39,5.5,38.39,211.16,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
5,MOTOR_01,170.27,38.39,5.5,38.39,211.16,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
6,MOTOR_01,206.33,43.98,7.5,43.98,329.86,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
7,MOTOR_01,182.94,40.36,7.5,40.36,302.67,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
8,MOTOR_01,170.27,38.39,7.5,38.39,287.94,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
9,MOTOR_01,230.0,47.65,7.5,47.65,357.38,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
10,MOTOR_01,230.0,47.65,7.5,47.65,357.38,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
11,MOTOR_01,170.27,38.39,7.5,38.39,287.94,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
12,MOTOR_01,218.38,45.85,7.5,45.85,343.86,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
13,MOTOR_01,230.0,47.65,7.5,47.65,357.38,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
14,MOTOR_01,230.0,47.65,7.5,47.65,357.38,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
15,MOTOR_01,170.27,38.39,7.5,38.39,287.94,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
16,MOTOR_01,168.96,38.19,7.5,38.19,286.41,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
17,MOTOR_01,170.27,38.39,7.5,38.39,287.94,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
18,MOTOR_01,120.0,30.6,10.0,30.6,306.0,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
19,MOTOR_01,120.0,30.6,10.0,30.6,306.0,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
20,MOTOR_01,120.0,30.6,10.0,30.6,306.0,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
21,MOTOR_01,120.0,30.6,10.0,30.6,306.0,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
22,MOTOR_01,230.0,47.65,5.5,47.65,262.07,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
23,MOTOR_01,230.0,47.65,5.5,47.65,262.07,100,NORMAL,1.0,RUNNING_OPTIMAL,230.0,,0,0,0
0,COMPRESSOR_01,350.0,24.4,5.5,24.4,134.2,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
1,COMPRESSOR_01,350.0,24.4,5.5,24.4,134.2,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
2,COMPRESSOR_01,375.38,25.01,5.5,25.01,137.55,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
3,COMPRESSOR_01,1100.0,42.4,5.5,42.4,233.2,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
4,COMPRESSOR_01,1100.0,42.4,5.5,42.4,233.2,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
5,COMPRESSOR_01,1100.0,42.4,5.5,42.4,233.2,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
6,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
7,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
8,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
9,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
10,COMPRESSOR_01,350.0,24.4,7.5,24.4,183.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
11,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
12,COMPRESSOR_01,350.0,24.4,7.5,24.4,183.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
